
#
# Format: DEVICE_NAME, PROGRAM_MEMORY_WORDS, DATA_MEMORY_BYTES, EEPROM_BYTES, ARCHITECTURE
# Generated from: Microchip Device Family Pack (DFP) .PIC files
PIC16F18175, 8192, 8192, 256, PIC16
PIC16F18176, 16384, 8192, 256, PIC16
PIC16F1823, 2048, 4096, 256, PIC16
PIC16F1824, 2048, 4096, 256, PIC16
PIC16F1825, 2048, 4096, 256, PIC16
PIC16F1826, 2048, 4096, 256, PIC16
PIC16F1827, 2048, 4096, 256, PIC16
PIC16F1828, 2048, 4096, 256, PIC16
PIC16F1829, 2048, 4096, 256, PIC16
PIC16F1829LIN, 2048, 4096, 256, PIC16
PIC16F18313, 2048, 4096, 256, PIC16
PIC16F18323, 2048, 4096, 256, PIC16
PIC16F18324, 4096, 4096, 256, PIC16
PIC16F18325, 8192, 8192, 256, PIC16
PIC16F18326, 16384, 4096, 256, PIC16
PIC16F18344, 4096, 4096, 256, PIC16
PIC16F18345, 8192, 8192, 256, PIC16
PIC16F18346, 16384, 4096, 256, PIC16
PIC16F18424, 4096, 8192, 256, PIC16
PIC16F18425, 8192, 8192, 256, PIC16
PIC16F18426, 16384, 8192, 256, PIC16
PIC16F18444, 4096, 8192, 256, PIC16
PIC16F18445, 8192, 8192, 256, PIC16
PIC16F18446, 16384, 8192, 256, PIC16
PIC16F18455, 8192, 8192, 256, PIC16
PIC16F18456, 16384, 8192, 256, PIC16
PIC16F1847, 2048, 4096, 256, PIC16
PIC16F18854, 4096, 4096, 256, PIC16
PIC16F18855, 8192, 4096, 256, PIC16
PIC16F18856, 16384, 4096, 256, PIC16
PIC16F18857, 32768, 8192, 256, PIC16
PIC16F18875, 8192, 4096, 256, PIC16
PIC16F18876, 16384, 4096, 256, PIC16
PIC16F18877, 32768, 8192, 256, PIC16
PIC16F19155, 8192, 8192, 256, PIC16
PIC16F19156, 16384, 8192, 256, PIC16
PIC16F19175, 8192, 8192, 256, PIC16
PIC16F19176, 16384, 8192, 256, PIC16
PIC16F19185, 8192, 8192, 256, PIC16
PIC16F19186, 16384, 8192, 256, PIC16
PIC16F19195, 8192, 8192, 256, PIC16
PIC16F19196, 16384, 8192, 256, PIC16
PIC16F19197, 32768, 8192, 256, PIC16
PIC16F1933, 2048, 4096, 256, PIC16
PIC16F1934, 2048, 4096, 256, PIC16
PIC16F1936, 2048, 4096, 256, PIC16
PIC16F1937, 2048, 4096, 256, PIC16
PIC16F1938, 2048, 4096, 256, PIC16
PIC16F1939, 2048, 4096, 256, PIC16
PIC16F1946, 2048, 4096, 256, PIC16
PIC16F1947, 2048, 4096, 256, PIC16
PIC16F505, 512, 0, 0, PIC16
PIC16F506, 512, 0, 0, PIC16
PIC16F526, 512, 0, 0, PIC16
PIC16F527, 512, 0, 0, PIC16
